Question,Correct Answer,Options,Pedagogical Explanation
"According to the provided text, which of the following best defines a ""database""?","A shared collection of logically related data, designed to meet the information needs of multiple users in an organization.","A software used to manage data and its users., A collection of related information organized and stored on a computer., A data structure that only stores metadata., A shared collection of logically related data, designed to meet the information needs of multiple users in an organization.","The text on page 10 explicitly states this as 'Def 1: A shared collection of logically related data, designed to meet the information needs of multiple users in an organization.' and notes it will be referred to most frequently. Option A describes a Database Management System (DBMS), not a database itself. Options B and C are partial or less comprehensive definitions mentioned but not the primary one for the course."
"One of the significant advantages of Database Management Systems (DBMS) over traditional file processing systems, as described in the handouts, is:",Controlled redundancy.,"Program-data interdependence., Controlled redundancy., Data inconsistency., Non-sharing of data.","The text explicitly lists 'Controlled Redundancy' (page 16) as an advantage of the database approach, meaning data is duplicated deliberately and managed. Options A, C, and D are identified as problems or characteristics inherent in traditional file processing systems (pages 13-14), which DBMS aims to overcome."
The ANSI SPARK standard proposes a three-level database architecture. Which of the following is NOT described as one of these three primary levels within the architecture?,Physical View,"External View, Internal View, Physical View, Conceptual View","The three levels of the ANSI SPARK architecture are the External View, Conceptual (or Logical) View, and Internal View (Figure 1, page 33). While the Internal View deals with physical storage, the text distinguishes the 'Physical layer' as being primarily managed by the operating system, with the DBMS having 'almost no concern with the details of the physical level' (page 42)."
Which type of data independence ensures that changes made to the conceptual model do not affect the external views of the database?,Logical Data Independence,"Physical Data Independence, External Data Independence, Logical Data Independence, Structural Data Independence","On page 44, the text states: 'Logical data independence provides the independence in a way that changes in conceptual model do not affect the external views. Or simply it can be stated at the Immunity of external level from changes at conceptual level.' Physical Data Independence relates to changes between the conceptual and internal levels. The terms 'External Data Independence' and 'Structural Data Independence' are not used in this context."
A relation is considered to be in First Normal Form (1NF) if and only if:,Every attribute is single-valued for each tuple.,"All non-key attributes are fully functionally dependent on the primary key., Every attribute is single-valued for each tuple., Every determinant is a candidate key., It contains no transitive dependencies.","According to page 167, 'A relation is in first normal form if and only if every attribute is single valued for each tuple. This means that each attribute in each row, or each cell of the table, contains only one value. No repeating fields or groups are allowed.' Option A describes Second Normal Form (2NF). Option C describes Boyce-Codd Normal Form (BCNF). Option D describes Third Normal Form (3NF) in relation to transitive dependencies."
"Which relational algebra operation works on a single table, producing a vertical subset by extracting values of specified columns and, by definition of a relation being a set, eliminating duplicates?",Project,"Select, Union, Project, Cartesian Product","Page 150 describes the Project operator: 'the Project operator operates on a single table vertically, that is, it produces a vertical subset of the table, extracting the values of specified columns, eliminating duplicates, and placing the values in a new table.' The Select operation (A) works horizontally on rows based on a predicate. Union (B) and Cartesian Product (D) are binary operations, combining two relations, not a single one."
A key that is a super key for which no proper subset is also a super key is known as a(n):,Candidate Key,"Primary Key, Alternate Key, Foreign Key, Candidate Key","The text on page 82 states: 'A super key for which no subset is a super key is called a candidate key, or the minimal super key is the candidate key.' A Primary Key (A) is the specific candidate key chosen by the designer. An Alternate Key (B) is any candidate key not chosen as the primary key. A Foreign Key (C) is an attribute (or set of attributes) in one table that refers to the primary key in another table."
"The ACID property of transactions that ensures all actions are carried out completely or none are, is known as:",Atomicity,"Consistency, Isolation, Durability, Atomicity","On page 291, 'Atomicity' is defined as: 'This implies indivisibility; any indivisible operation (one which will either complete fully or not at all) is said to be atomic.' Consistency (A) means a transaction preserves database consistency. Isolation (B) ensures transactions appear to execute independently. Durability (C) guarantees committed changes persist despite failures."
What is the primary reason for deliberately performing denormalization in physical database design?,To enhance the performance of specific queries.,"To achieve higher normal forms for data integrity., To reduce data redundancy., To enhance the performance of specific queries., To strictly adhere to the relational data model rules.","Page 187 states: 'Denormalization is a technique to move from higher to lower normal forms of database modeling in order to speed up database access... There is a valid reason for denormalization that is to enhance the performance.' Options A, B, and D are objectives of normalization and adherence to the relational model, which denormalization often sacrifices to improve query execution speed."
"Which category of SQL commands is used for defining and managing the structure of a database, including creating and modifying tables?",Data Definition Language (DDL),"Data Control Language (DCL), Data Query Language (DQL), Data Manipulation Language (DML), Data Definition Language (DDL)","On page 201, the text defines DDL: 'The DDL (Data Definition Language) allows specification of not only a set of relations... The DDL contains the commands used to create and destroy databases and database objects.' DML (C) is for retrieving, inserting, and modifying data. DCL (A) is for controlling access and permissions. DQL (B) is often used to refer to the SELECT statement, which is a part of DML, but not a primary category for structural management."
